"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Curacao","CUW","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","52","55","57","58","59","60","62","65","69","72","74","73","71","67","64","61","58","55","53","51","48","46","42","40","38","35","33","31","30","28","26","25","",
"Czechia","CZE","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","539","557","578","604","629","646","653","652","642","623","597","563","530","495","463","437","419","403","390","378","366","354","342","328","311","292","272","254","239","228","221","219","221","",
"Germany","DEU","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4684","4518","4259","3932","3596","3302","3061","2889","2789","2732","2692","2637","2541","2415","2273","2132","2017","1943","1902","1874","1845","1796","1722","1639","1560","1490","1435","1404","1382","1370","1373","1382","1393","",
"Djibouti","DJI","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","245","272","289","267","277","277","282","290","306","318","326","330","336","337","331","323","318","319","319","322","322","324","325","326","326","326","323","320","317","316","315","316","318","",
"Dominica","DMA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","6","6","6","6","5","5","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","6","7","7","7","7","7","7","8","8","8","8","",
"Denmark","DNK","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","247","232","223","218","215","214","210","203","196","188","181","170","162","154","146","139","135","132","128","125","121","116","113","111","110","110","110","111","112","111","112","112","112","",
"Dominican Republic","DOM","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","1046","1093","1146","1200","1253","1306","1357","1405","1452","1496","1535","1571","1609","1646","1678","1702","1721","1731","1731","1733","1728","1723","1717","1710","1694","1679","1656","1628","1599","1574","1558","1539","",
"Algeria","DZA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2902","3027","3154","3276","3381","3457","3487","3488","3489","3449","3401","3337","3260","3172","3084","3004","2919","2851","2783","2711","2636","2572","2537","2518","2489","2435","2353","2248","2118","1975","1842","1740","1672","",
"East Asia & Pacific (excluding high income)","EAP","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166964","168609","169902","169681","167144","164791","158327","151407","144866","140008","137888","138043","139778","139454","149405","138692","138061","137394","142293","136924","136721","134812","130419","125489","120706","115341","110972","108088","105214","102312","100143","98994","97943","",
"Early-demographic dividend","EAR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","465872","463498","458090","457400","610396","454821","456524","459355","462837","472283","468730","471911","474976","476623","483519","474772","465546","460378","459257","446082","443907","429047","426124","413068","397641","389733","376056","366573","361243","349504","342325","339441","336049","",
"East Asia & Pacific","EAS","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","178048","179649","180849","180492","177866","175365","168583","161141","153918","148357","145654","145369","146726","146086","155776","144851","144052","143227","147974","142441","142030","140364","135272","130138","125193","119713","115266","112357","109496","106633","104506","103373","102288","",
"Europe & Central Asia (excluding high income)","ECA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24005","24664","31884","32563","28993","27127","26342","25540","25113","25896","24267","23472","22717","22057","21560","21292","21214","20968","20386","19070","18105","17143","16257","15436","15254","14209","14126","12779","12025","11469","12125","11006","16445","",
"Europe & Central Asia","ECS","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71992","73942","82475","84985","82507","84692","78782","77769","77923","79426","77980","76615","74418","72139","69882","67880","66098","63913","60970","57140","53855","50491","47027","43496","40594","36942","34717","31787","30005","28877","29308","28176","37067","",
"Ecuador","ECU","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1703","1681","1662","1648","1642","1650","1677","1724","1777","1824","1856","1872","1874","1880","1907","1949","1998","2039","2062","2057","2021","1953","1865","1773","1697","1642","1607","1596","1624","1722","1868","2104","2449","",
"Egypt, Arab Rep.","EGY","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6639","6114","5697","5472","5410","5473","5611","5791","5993","6241","6581","7024","7465","7787","7910","7872","7729","7580","7500","7495","7539","7586","7553","7271","6912","6636","6548","6609","6742","6944","7231","7589","7939","",
"Euro area","EMU","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21314","21297","20434","19520","18519","17562","16682","15923","15305","14754","14238","13714","13116","12494","11856","11221","10624","10096","9666","9220","8757","8291","7836","7407","7019","6701","6461","6279","6151","6079","6075","6105","6172","",
"Eritrea","ERI","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1100","1088","928","902","930","899","1015","956","915","872","859","834","869","873","934","934","929","899","892","907","898","897","885","870","867","844","847","857","870","885","889","890","886","",
"Spain","ESP","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3320","3187","2967","2713","2486","2332","2253","2208","2167","2106","2014","1894","1756","1652","1533","1415","1293","1176","1071","954","841","751","687","641","609","592","587","586","588","599","630","666","711","",
"Estonia","EST","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","170","188","201","202","201","191","178","165","156","150","150","147","145","143","142","138","132","124","115","107","98","88","77","67","57","48","42","36","32","28","25","23","22","",
"Ethiopia","ETH","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38159","33648","34547","34458","34102","33584","33046","32432","31740","36828","30304","29431","28466","27436","26474","25678","24991","24514","24051","23546","22921","22279","21594","20855","20162","19609","19264","19174","19330","19556","19842","20170","20477","",
"European Union","EUU","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28149","28188","27238","26136","25028","24045","23143","22331","21601","20864","20110","19374","18542","17702","16866","16082","15432","14920","14504","13980","13334","12617","11900","11206","10552","9983","9534","9201","8973","8846","8828","8859","8923","",
"Fragile and conflict affected situations","FCS","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172280","166761","170001","177038","176063","180385","185493","181792","183014","190467","186375","187819","189041","190087","190638","191237","192290","192637","199779","192280","198987","194812","205273","207655","207109","211622","210342","213306","216785","214096","213564","217002","226547","",
"Finland","FIN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","332","313","282","251","229","220","219","223","230","237","240","240","237","235","235","235","234","231","227","220","211","201","190","180","173","171","173","178","183","186","184","179","174","",
"Fiji","FJI","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","145","141","136","131","126","123","122","123","125","129","131","133","134","134","133","130","126","122","118","114","110","108","106","104","102","100","98","97","95","93","92","90","90","",
"France","FRA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4112","4042","3970","3868","3716","3519","3296","3084","2912","2783","2701","2644","2570","2464","2343","2226","2121","2033","1969","1917","1852","1772","1687","1599","1516","1455","1416","1391","1377","1379","1386","1397","1404","",
"Faroe Islands","FRO","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","17","17","17","16","16","17","17","17","16","16","16","17","17","17","17","16","16","15","15","15","15","15","15","15","15","15","15","15","15","15","15","14","",
"Gabon","GAB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225","237","248","260","269","278","286","294","299","304","310","315","319","321","322","320","316","313","309","303","296","287","279","271","263","255","250","244","241","239","237","236","238","",
"United Kingdom","GBR","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2825","2750","2647","2524","2416","2333","2249","2159","2089","2059","2063","2076","2085","2082","2064","2038","2010","1978","1931","1845","1731","1629","1565","1532","1524","1529","1539","1548","1547","1523","1473","1411","1353","",
"Georgia","GEO","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","465","489","750","928","529","408","326","294","285","277","263","245","225","214","208","213","233","267","396","298","276","247","226","215","219","230","225","203","181","173","174","175","168","",
"Ghana","GHA","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4617","4561","4522","4546","4592","4644","4699","4781","4890","4984","5080","5178","5255","5316","5325","5295","5249","5188","5086","4980","4891","4777","4647","4534","4406","4309","4245","4182","4168","4200","4258","4344","4432","",
"Gibraltar","GIB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1733","1839","1940","2022","2116","2196","2289","2379","2404","2491","2575","2645","2661","2773","2887","2992","3096","3229","3374","3534","3689","3850","4012","4167","4315","4440","4545","4657","4729","4785","4830","4881","4902","",
"Gambia, The","GMB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","406","416","427","434","436","436","437","438","440","442","446","450","454","460","460","460","460","461","462","463","465","467","470","472","475","477","478","481","484","488","493","498","505","",
"Guinea-Bissau","GNB","Number of deaths ages 20-24 years","SH.DTH.2024","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","379","390","408","430","452","472","486","499","769","697","519","527","534","540","545","545","544","538","532","524","514","504","497","493","491","492","496","500","504","508","512","516","520","",
